,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
264,264,923,266,923,266,947,217
265,265,921,270,921,270,947,220
266,266,910,274,910,274,938,225
267,267,904,288,904,288,935,238
268,268,891,306,891,306,926,255
269,269,878,313,878,313,915,262
270,270,882,259,882,259,908,210
271,271,885,224,885,224,901,178
272,272,899,176,899,176,899,134
273,273,919,69,919,69,872,46
274,274,878,54,878,54,830,35
275,275,841,91,841,91,815,65
276,276,810,224,810,224,833,178
277,277,801,344,801,344,845,291
278,278,807,446,807,446,856,398
279,279,813,499,813,499,859,456
280,280,815,469,815,469,863,423
281,281,806,352,806,352,851,300
282,282,829,217,829,217,848,171
283,283,799,118,799,118,788,88
284,284,800,50,800,50,760,35
285,285,800,47,800,47,759,33
286,286,805,37,805,37,759,25
287,287,798,17,798,17,742,11
288,288,799,-29,799,-29,718,-21
289,289,797,-77,797,-77,688,-52
290,290,784,-95,784,-95,666,-63
291,291,770,-106,770,-106,647,-69
292,292,765,-102,765,-102,646,-66
293,293,758,-76,758,-76,656,-49
294,294,750,-59,750,-59,660,-38
295,295,746,-21,746,-21,678,-13
296,296,720,20,720,20,677,18
297,297,701,53,701,53,675,43
298,298,683,86,683,86,673,68
299,299,677,104,677,104,674,82
300,300,649,144,649,144,663,115
301,301,621,196,621,196,650,159
302,302,602,228,602,228,639,188
303,303,581,246,581,246,622,204
304,304,571,241,571,241,612,200
305,305,557,247,557,247,600,206
306,306,529,262,529,262,574,221
307,307,518,261,518,261,564,221
308,308,506,236,506,236,550,200
309,309,498,215,498,215,538,183
310,310,485,206,485,206,525,176
311,311,465,198,465,198,504,171
312,312,457,198,457,198,497,172
313,313,463,199,463,199,503,172
314,314,464,197,464,197,503,171
315,315,467,196,467,196,506,170
316,316,472,205,472,205,512,176
317,317,476,160,476,160,507,140
318,318,470,163,470,163,503,143
319,319,486,142,486,142,512,125
320,320,519,69,519,69,520,68
321,321,563,-13,563,-13,526,8
322,322,596,-71,596,-71,524,-32
323,323,584,-109,584,-109,492,-53
324,324,623,-118,623,-118,519,-62
325,325,621,-65,621,-65,548,-31
326,326,627,-4,627,-4,585,8
327,327,635,61,635,61,620,53
328,328,684,97,684,97,678,76
329,329,725,118,725,118,723,91
330,330,767,135,767,135,766,102
331,331,800,141,800,141,797,106
332,332,845,157,845,157,844,119
333,333,890,179,890,179,892,137
334,334,938,171,938,171,932,130
335,335,972,160,972,160,958,120
336,336,997,77,997,77,943,51
337,337,1028,-18,1028,-18,915,-22
338,338,1076,-68,1076,-68,921,-58
339,339,1100,-40,1100,-40,960,-38
340,340,1106,-1,1106,-1,990,-10
341,341,1098,35,1098,35,1006,19
342,342,1083,76,1083,76,1016,51
343,343,1059,95,1059,95,1006,67
344,344,1028,132,1028,132,996,97
345,345,978,215,978,215,983,170
346,346,937,291,937,291,966,241
347,347,901,354,901,354,943,303
348,348,882,398,882,398,928,349
349,349,863,405,863,405,911,355
350,350,851,394,851,394,899,343
351,351,842,386,842,386,889,334
352,352,833,386,833,386,881,335
353,353,825,379,825,379,872,327
354,354,817,384,817,384,865,332
355,355,803,374,803,374,851,322
356,356,798,381,798,381,846,329
357,357,787,387,787,387,835,335
358,358,782,403,782,403,831,352
359,359,778,406,778,406,828,355
360,360,781,428,781,428,831,378
361,361,777,428,777,428,826,378
362,362,782,434,782,434,831,384
363,363,780,442,780,442,830,393
364,364,783,442,783,442,832,393
365,365,783,431,783,431,832,381
366,366,783,428,783,428,833,378
367,367,786,421,786,421,835,370
368,368,792,419,792,419,841,368
369,369,798,410,798,410,847,359
370,370,814,391,814,391,862,339
371,371,806,203,806,203,823,159
372,372,742,172,742,172,755,134
373,373,726,206,726,206,750,163
374,374,751,266,751,266,787,217
375,375,775,318,775,318,817,265
376,376,790,340,790,340,835,288
377,377,788,319,788,319,830,267
378,378,803,264,803,264,835,214
379,379,816,251,816,251,844,202
380,380,830,270,830,270,862,220
381,381,830,292,830,292,866,241
382,382,818,323,818,323,860,271
383,383,804,345,804,345,848,293
384,384,789,359,789,359,836,306
385,385,775,400,775,400,824,348
386,386,769,447,769,447,818,398
387,387,759,477,759,477,807,431
388,388,760,492,760,492,806,447
389,389,765,491,765,491,811,446
390,390,775,485,775,485,822,439
391,391,780,477,780,477,827,432
392,392,788,472,788,472,836,425
393,393,796,467,796,467,844,420
394,394,797,460,797,460,845,413
395,395,798,456,798,456,847,409
396,396,805,463,805,463,854,416
397,397,811,466,811,466,859,419
398,398,816,469,816,469,864,423
399,399,818,476,818,476,866,431
400,400,818,483,818,483,865,439
401,401,818,488,818,488,865,444
402,402,819,488,819,488,866,445
403,403,816,485,816,485,863,441
404,404,814,473,814,473,862,428
405,405,807,446,807,446,856,398
406,406,800,441,800,441,849,393
407,407,802,435,802,435,852,386
408,408,808,434,808,434,857,385
409,409,813,438,813,438,862,389
410,410,817,442,817,442,866,394
411,411,821,446,821,446,870,399
412,412,812,446,812,446,862,398
413,413,809,432,809,432,858,383
414,414,800,410,800,410,849,360
415,415,793,386,793,386,841,334
416,416,782,398,782,398,831,346
417,417,780,428,780,428,829,378
418,418,779,441,779,441,828,392
419,419,779,458,779,458,827,410
420,420,782,450,782,450,831,401
421,421,780,467,780,467,828,420
422,422,780,451,780,451,829,403
423,423,770,446,770,446,820,396
424,424,772,443,772,443,821,394
425,425,788,411,788,411,837,360
426,426,798,400,798,400,846,348
