,model,subject,n_entropy
71,ETH,s3,0.30513915451886975
72,ETH,s53,0.3061300093425683
73,ETH,s66,0.3475662880735339
74,ETH,s73,0.35581864664412133
75,ETH,s75,0.41804888694965114
76,ETH,s71,0.18464022751146367
77,ETH,s2,0.4369256071150342
78,ETH,s46,0.33040205591698035
79,ETH,s23,0.3476731760505336
80,ETH,s59,0.4103081201763855
81,ETH,s39,0.38615414276376403
82,ETH,s63,0.36871883841851294
83,ETH,s9,0.4115834403849441
84,ETH,s19,0.40830510788919694
85,ETH,s114,0.30705460538072854
86,ETH,s5,0.31495588164897764
87,ETH,s113,0.45073610418291166
88,ETH,s98,0.3963215373946176
89,ETH,s104,0.4056547366259883
90,ETH,s77,0.3694957985562857
91,ETH,s34,0.4010453305383877
92,ETH,s111,0.4253453748263123
93,ETH,s78,0.14672718136265617
94,ETH,s40,0.4167694276649958
95,ETH,s79,0.4538995877705181
96,ETH,s55,0.38902060695756413
97,ETH,s1,0.40882377782918633
98,ETH,s21,0.45804874515966887
99,ETH,s41,0.4759232387853565
100,ETH,s68,0.3694948137949291
101,ETH,s90,0.44798704136222084
102,ETH,s30,0.3834999146030217
103,ETH,s64,0.35152377505511156
104,ETH,s28,0.40127120647745596
105,ETH,s110,0.332271664751759
106,ETH,s20,0.3378799784758526
107,ETH,s85,0.44177029784204724
108,ETH,s8,0.40110391586408767
109,ETH,s27,0.3457437903004732
110,ETH,s60,0.36820224937947377
111,ETH,s18,0.37518940520203053
112,ETH,s80,0.4570156782458177
113,ETH,s93,0.3687959293198375
114,ETH,s43,0.2977315617550511
115,ETH,s56,0.34842526565847426
116,ETH,s82,0.4442422053569375
117,ETH,s31,0.3728503174139104
118,ETH,s52,0.34117319386967815
119,ETH,s17,0.2992256551791954
120,ETH,s92,0.37504842941531946
121,ETH,s4,0.3348210114791033
122,ETH,s6,0.3590685958455159
123,ETH,s117,0.3765504538443142
124,ETH,s49,0.3655716902834839
125,ETH,s115,0.39473567472878
126,ETH,s103,0.2748978794021014
127,ETH,s102,0.3557500957331171
128,ETH,s32,0.37507254962877234
129,ETH,s44,0.36515001044616313
130,FAZE,s25,0.35175636517411646
131,FAZE,s81,0.366453749507762
132,FAZE,s61,0.3170573178708639
133,FAZE,s87,0.3592280506261702
134,FAZE,s86,0.36601289844662177
135,FAZE,s58,0.3784706623261006
136,FAZE,s3,0.2991626972505458
137,FAZE,s53,0.3246264684114193
138,FAZE,s66,0.31063415894143953
139,FAZE,s73,0.34063187387389815
140,FAZE,s75,0.3767237868591153
141,FAZE,s71,0.27713336859224436
142,FAZE,s2,0.37821191471234705
143,FAZE,s46,0.3449473706649967
144,FAZE,s23,0.33041928699465056
145,FAZE,s59,0.3347990061144079
146,FAZE,s39,0.35161186394758775
147,FAZE,s63,0.33958786962620635
148,FAZE,s9,0.3741136226275882
149,FAZE,s19,0.34636002388614395
150,FAZE,s114,0.29944111582730437
151,FAZE,s5,0.3504013452491188
152,FAZE,s113,0.3655366357994092
153,FAZE,s98,0.3446324997194079
154,FAZE,s104,0.3575723055514661
155,FAZE,s77,0.3354185988007398
156,FAZE,s34,0.3561518362837089
157,FAZE,s111,0.37236824919491585
158,FAZE,s78,0.3130704587213914
159,FAZE,s40,0.3636680739088988
160,FAZE,s79,0.39224489295120324
161,FAZE,s55,0.3686665166679545
162,FAZE,s1,0.3206956495271469
163,FAZE,s21,0.381458402679144
164,FAZE,s41,0.3623595414969026
165,FAZE,s68,0.35455236486782965
166,FAZE,s90,0.33893703342800335
167,FAZE,s30,0.3332034189810923
168,FAZE,s64,0.3372787013595868
169,FAZE,s28,0.3778186893161617
170,FAZE,s110,0.34844052727524794
171,FAZE,s20,0.34891215086466326
172,FAZE,s85,0.3543461889617199
173,FAZE,s8,0.33818674113951547
174,FAZE,s27,0.3253551490264374
175,FAZE,s60,0.3425433465771627
176,FAZE,s18,0.3449054130293085
177,FAZE,s80,0.37215899468473634
178,FAZE,s93,0.3511169496852478
179,FAZE,s43,0.3276839889160065
180,FAZE,s56,0.3451399789586328
181,FAZE,s82,0.37636922718233334
182,FAZE,s31,0.3516133506660033
183,FAZE,s52,0.29008284166616627
184,FAZE,s17,0.33539765351055595
185,FAZE,s92,0.3524456039886141
186,FAZE,s4,0.32630522075194635
187,FAZE,s6,0.3704430245626791
188,FAZE,s117,0.3691983623757829
189,FAZE,s49,0.32534004352901885
190,FAZE,s115,0.3734791378589576
191,FAZE,s103,0.3257286700571622
192,FAZE,s102,0.3887983209438861
193,FAZE,s32,0.3537716514954222
194,FAZE,s44,0.31856945873028797
