,Model,Subject,Onsets
24,ETH,s104,259.975
25,ETH,s77,236.88333333333333
26,ETH,s34,253.71666666666667
27,ETH,s111,308.44166666666666
28,ETH,s78,275.1166666666667
29,ETH,s40,207.175
30,ETH,s79,273.03333333333336
31,ETH,s55,288.175
32,ETH,s1,306.39166666666665
33,ETH,s21,266.975
34,ETH,s41,262.65833333333336
35,ETH,s68,289.84166666666664
36,ETH,s90,224.875
37,ETH,s30,372.59166666666664
38,ETH,s64,361.625
39,ETH,s28,325.23333333333335
40,ETH,s110,301.85833333333335
41,ETH,s20,300.65833333333336
42,ETH,s85,374.1
43,ETH,s8,276.5
44,ETH,s27,302.15833333333336
45,ETH,s60,306.9583333333333
46,ETH,s18,346.4916666666667
47,ETH,s80,347.2583333333333
48,ETH,s93,227.86666666666667
49,ETH,s43,308.76666666666665
50,ETH,s56,347.7416666666667
51,ETH,s82,260.9166666666667
52,ETH,s31,250.125
53,ETH,s52,227.975
54,ETH,s17,249.2
55,ETH,s92,330.95
56,ETH,s4,235.25
57,ETH,s6,319.53333333333336
58,ETH,s117,163.6
59,ETH,s49,341.3833333333333
60,ETH,s115,285.325
61,ETH,s103,333.9583333333333
62,ETH,s102,371.44166666666666
63,ETH,s32,319.425
64,ETH,s44,409.0833333333333
0,FAZE,s25,177.9
1,FAZE,s81,339.25
2,FAZE,s61,313.9166666666667
3,FAZE,s87,370.575
4,FAZE,s86,328.0
5,FAZE,s58,221.86666666666667
6,FAZE,s3,299.325
7,FAZE,s53,389.94166666666666
8,FAZE,s66,426.225
9,FAZE,s73,335.45
10,FAZE,s75,234.46666666666667
11,FAZE,s71,321.90833333333336
12,FAZE,s2,313.51666666666665
13,FAZE,s46,393.0416666666667
14,FAZE,s23,300.09166666666664
15,FAZE,s59,250.50833333333333
16,FAZE,s39,335.73333333333335
17,FAZE,s63,409.60833333333335
18,FAZE,s9,248.36666666666667
19,FAZE,s19,400.7416666666667
20,FAZE,s114,309.5833333333333
21,FAZE,s5,292.03333333333336
22,FAZE,s113,325.85
23,FAZE,s98,377.1333333333333
24,FAZE,s104,298.4
25,FAZE,s77,181.825
26,FAZE,s34,322.23333333333335
27,FAZE,s111,281.21666666666664
28,FAZE,s78,254.33333333333334
29,FAZE,s40,280.56666666666666
30,FAZE,s79,302.1333333333333
31,FAZE,s55,284.35833333333335
32,FAZE,s1,349.28333333333336
33,FAZE,s21,328.90833333333336
34,FAZE,s41,264.5833333333333
35,FAZE,s68,321.69166666666666
36,FAZE,s90,313.9
37,FAZE,s30,334.9583333333333
38,FAZE,s64,303.8050847457627
39,FAZE,s28,396.0833333333333
40,FAZE,s110,368.60833333333335
41,FAZE,s20,349.2
42,FAZE,s85,318.21666666666664
43,FAZE,s8,323.6
44,FAZE,s27,340.3833333333333
45,FAZE,s60,361.6333333333333
46,FAZE,s18,377.85833333333335
47,FAZE,s80,397.05833333333334
48,FAZE,s93,297.4166666666667
49,FAZE,s43,329.1666666666667
50,FAZE,s56,423.9
51,FAZE,s82,265.2
52,FAZE,s31,318.275
53,FAZE,s52,195.43333333333334
54,FAZE,s17,268.1
55,FAZE,s92,407.2583333333333
56,FAZE,s4,277.5416666666667
57,FAZE,s6,333.225
58,FAZE,s117,243.55833333333334
59,FAZE,s49,368.7
60,FAZE,s115,302.375
61,FAZE,s103,358.5833333333333
62,FAZE,s102,378.3666666666667
63,FAZE,s32,370.2916666666667
64,FAZE,s44,378.64166666666665
