,model,subject,rms
128,ETH,s32,95.94752698079412
129,ETH,s44,56.57565321290921
130,FAZE,s25,55.91837932082821
131,FAZE,s81,28.2435189613252
132,FAZE,s61,15.77387921178708
133,FAZE,s87,20.2590991670249
134,FAZE,s86,25.06292435538551
135,FAZE,s58,47.03533949142932
136,FAZE,s3,30.486161909022982
137,FAZE,s53,11.008310341312823
138,FAZE,s66,34.79295634740536
139,FAZE,s73,32.42412321419221
140,FAZE,s75,24.68440861000599
141,FAZE,s71,14.536082540526252
142,FAZE,s2,41.39006826365439
143,FAZE,s46,14.559720859490149
144,FAZE,s23,37.441976233802606
145,FAZE,s59,38.65942539558225
146,FAZE,s39,13.368476699196368
147,FAZE,s63,15.489939742052092
148,FAZE,s9,60.488579016154986
149,FAZE,s19,32.56569776133037
150,FAZE,s114,21.792882885201543
151,FAZE,s5,12.110690558193593
152,FAZE,s113,41.978478411802
153,FAZE,s98,19.401029239168704
154,FAZE,s104,30.00595870573959
155,FAZE,s77,36.97208910881899
156,FAZE,s34,25.473651106058416
157,FAZE,s111,25.14600395418135
158,FAZE,s78,44.19210724902639
159,FAZE,s40,31.7130821918464
160,FAZE,s79,38.36601950866956
161,FAZE,s55,50.53602446264024
162,FAZE,s1,10.997343886165044
163,FAZE,s21,26.630842039582973
164,FAZE,s41,21.943863281266168
165,FAZE,s68,14.521814768619484
166,FAZE,s90,43.342741463456086
167,FAZE,s30,18.478655771903824
168,FAZE,s64,23.180385562475085
169,FAZE,s28,17.374432058337415
170,FAZE,s110,15.306357930723744
171,FAZE,s20,16.438404903258682
172,FAZE,s85,33.27815088789023
173,FAZE,s8,20.737765209360223
174,FAZE,s27,35.726398967979115
175,FAZE,s60,13.106091459565077
176,FAZE,s18,35.1519725375892
177,FAZE,s80,20.33247940462913
178,FAZE,s93,20.261740502398084
179,FAZE,s43,30.020149494781464
180,FAZE,s56,11.55344251997653
181,FAZE,s82,25.83110475260886
182,FAZE,s31,11.528939330825567
183,FAZE,s52,38.33404885022784
184,FAZE,s17,15.16143852694663
185,FAZE,s92,13.88316522469628
186,FAZE,s4,17.025342703789928
187,FAZE,s6,27.85212602358227
188,FAZE,s117,34.24591386782143
189,FAZE,s49,19.02798873222589
190,FAZE,s115,18.07241809744918
191,FAZE,s103,11.403934030858892
192,FAZE,s102,23.11663089723719
193,FAZE,s32,25.76146875604944
194,FAZE,s44,15.035191686117567
