,model,subject,avg_AUC
61,MPII,s103,0.5003533854613945
62,MPII,s102,0.5129808299526559
63,MPII,s32,0.583840139992575
64,MPII,s44,0.5818421505230071
65,ETH,s25,0.7126812664040066
66,ETH,s81,0.5737642411629811
67,ETH,s61,0.5259495911850286
68,ETH,s87,0.5684744293238648
69,ETH,s86,0.5854328722222795
70,ETH,s58,0.5952424631524257
71,ETH,s3,0.6142456546976408
72,ETH,s53,0.6324546475154106
73,ETH,s66,0.7009361932752274
74,ETH,s73,0.5996487676066378
75,ETH,s75,0.5761254389922724
76,ETH,s71,0.5951340241045749
77,ETH,s2,0.6138346961277488
78,ETH,s46,0.699144038537125
79,ETH,s23,0.5940622416684318
80,ETH,s59,0.4244303316591736
81,ETH,s39,0.6677974288148121
82,ETH,s63,0.7146098229773235
83,ETH,s9,0.44433774266071085
84,ETH,s19,0.2833841726983363
85,ETH,s114,0.634968450318807
86,ETH,s5,0.5466671017581417
87,ETH,s113,0.46565438648646307
88,ETH,s98,0.626159866675276
89,ETH,s104,0.5496866071648234
90,ETH,s77,0.5410508917264238
91,ETH,s34,0.6491426942208014
92,ETH,s111,0.7044293149014371
93,ETH,s78,0.5762180952686097
94,ETH,s40,0.633121977650256
95,ETH,s79,0.5959363318926271
96,ETH,s55,0.5961946782770418
97,ETH,s1,0.6693520881266876
98,ETH,s21,0.4364397528893586
99,ETH,s41,0.49538276613675813
100,ETH,s68,0.5207479811799793
101,ETH,s90,0.45891609861605637
102,ETH,s30,0.6139783230337837
103,ETH,s64,0.694852652385245
104,ETH,s28,0.5045417527737086
105,ETH,s110,0.7218077811263147
106,ETH,s20,0.7545644561678033
107,ETH,s85,0.4462431422728169
108,ETH,s8,0.5533643475615319
109,ETH,s27,0.6140102580072606
110,ETH,s60,0.578385199226837
111,ETH,s18,0.6697033995943577
112,ETH,s80,0.5558725562652417
113,ETH,s93,0.6892764385934113
114,ETH,s43,0.6689626722610096
115,ETH,s56,0.7607601977108515
116,ETH,s82,0.5722145976852582
117,ETH,s31,0.581510767026635
118,ETH,s52,0.4948978663437336
119,ETH,s17,0.4017305893474749
120,ETH,s92,0.40275290684959847
121,ETH,s4,0.5460203552361473
122,ETH,s6,0.6011611057551001
123,ETH,s117,0.566363447045371
124,ETH,s49,0.5068888197195465
125,ETH,s115,0.5221250966235091
126,ETH,s103,0.661968130943298
127,ETH,s102,0.6603828518426265
128,ETH,s32,0.6310474911202582
129,ETH,s44,0.5408346876923756
130,FAZE,s25,0.7906261775685838
131,FAZE,s81,0.5504881757047473
132,FAZE,s61,0.6676346594316563
133,FAZE,s87,0.27981264832802627
134,FAZE,s86,0.647853984262289
135,FAZE,s58,0.38635049289402235
136,FAZE,s3,0.717534025024777
137,FAZE,s53,0.6436844156364873
138,FAZE,s66,0.7744106546462717
139,FAZE,s73,0.6359615924691704
140,FAZE,s75,0.5762368058961765
141,FAZE,s71,0.8150595810329527
142,FAZE,s2,0.684428372633441
143,FAZE,s46,0.533494661749358
144,FAZE,s23,0.6279502991535342
145,FAZE,s59,0.4446891101185926
146,FAZE,s39,0.7855199776972072
147,FAZE,s63,0.6895215065005786
148,FAZE,s9,0.429030632854608
149,FAZE,s19,0.6390797899561519
150,FAZE,s114,0.4830999040755059
151,FAZE,s5,0.7750149016178722
152,FAZE,s113,0.4371573172847541
153,FAZE,s98,0.7050275143769553
154,FAZE,s104,0.6289403118810845
155,FAZE,s77,0.5093599084726448
156,FAZE,s34,0.7885485935911608
157,FAZE,s111,0.7754234920484075
158,FAZE,s78,0.6342458498237453
159,FAZE,s40,0.7285285215242758
160,FAZE,s79,0.6535088760971424
161,FAZE,s55,0.6318769879846562
162,FAZE,s1,0.8926630029081439
163,FAZE,s21,0.6576443079720286
164,FAZE,s41,0.5635224458181454
165,FAZE,s68,0.5088835973869631
166,FAZE,s90,0.5044970185062356
167,FAZE,s30,0.5296423466088839
168,FAZE,s64,0.6163010591841481
169,FAZE,s28,0.6780950138506903
170,FAZE,s110,0.647070776825249
171,FAZE,s20,0.6905364568611863
172,FAZE,s85,0.5150290393427053
173,FAZE,s8,0.5925790492894365
174,FAZE,s27,0.7088307697049028
175,FAZE,s60,0.7548763880642603
176,FAZE,s18,0.808236788725791
177,FAZE,s80,0.6933338649528964
178,FAZE,s93,0.6402535529654335
179,FAZE,s43,0.5257305787498759
180,FAZE,s56,0.7732431351454849
181,FAZE,s82,0.6233144717888174
182,FAZE,s31,0.674057093457453
183,FAZE,s52,0.7916281351549307
184,FAZE,s17,0.5776440176113617
185,FAZE,s92,0.7470648766707226
186,FAZE,s4,0.7242138632704804
187,FAZE,s6,0.7571029370501903
188,FAZE,s117,0.6436241176232186
189,FAZE,s49,0.5700271720121564
190,FAZE,s115,0.703141179033809
191,FAZE,s103,0.6957958194536248
192,FAZE,s102,0.7149441578907485
193,FAZE,s32,0.7490061216928936
194,FAZE,s44,0.6941099470006991
