,model,subject,acc
155,FAZE,s77,167.8383730193711
156,FAZE,s34,88.53261743612897
157,FAZE,s111,78.36889833282035
158,FAZE,s78,284.25201196053905
159,FAZE,s40,131.80880379487107
160,FAZE,s79,124.17886201577974
161,FAZE,s55,154.28383246553085
162,FAZE,s1,67.51338288440715
163,FAZE,s21,114.05809204596484
164,FAZE,s41,117.83923288206203
165,FAZE,s68,156.6638456266309
166,FAZE,s90,138.44538427837406
167,FAZE,s30,133.0939988860701
168,FAZE,s64,580.2702602562366
169,FAZE,s28,155.34601871659098
170,FAZE,s110,111.38318868734925
171,FAZE,s20,84.51478845202632
172,FAZE,s85,206.58165360265295
173,FAZE,s8,112.91206332636996
174,FAZE,s27,121.27540889377414
175,FAZE,s60,77.6959079272542
176,FAZE,s18,78.41333017290816
177,FAZE,s80,62.66259137717289
178,FAZE,s93,87.91658075220832
179,FAZE,s43,128.5081240532651
180,FAZE,s56,143.30329723411032
181,FAZE,s82,225.5872866030197
182,FAZE,s31,155.45160405312706
183,FAZE,s52,98.02554998858588
184,FAZE,s17,127.321258444749
185,FAZE,s92,91.26986605125458
186,FAZE,s4,102.07515817138484
187,FAZE,s6,166.21191344674114
188,FAZE,s117,110.10397497214804
189,FAZE,s49,98.5734906699935
190,FAZE,s115,118.04999467470164
191,FAZE,s103,87.61659400025873
192,FAZE,s102,124.66499020067684
193,FAZE,s32,100.48048258274724
194,FAZE,s44,88.65398059060053
