,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
342,342,358,14,358,14,490,-55
343,343,382,-17,382,-17,529,-87
344,344,477,107,477,107,582,34
345,345,580,191,580,191,665,118
346,346,656,209,656,209,740,136
347,347,713,150,713,150,808,79
348,348,654,261,654,261,725,190
349,349,611,359,611,359,654,303
350,350,610,449,610,449,631,413
351,351,580,524,580,524,575,517
352,352,564,562,564,562,545,574
353,353,562,607,562,607,531,638
354,354,558,642,558,642,517,690
355,355,555,657,555,657,510,714
356,356,515,637,515,637,460,696
357,357,488,640,488,640,421,710
358,358,511,656,511,656,449,726
359,359,509,646,509,646,449,712
360,360,530,627,530,627,484,676
361,361,563,699,563,699,510,774
362,362,569,698,569,698,519,769
363,363,578,664,578,664,539,716
364,364,556,640,556,640,515,687
365,365,561,638,561,638,523,682
366,366,506,627,506,627,451,685
367,367,492,617,492,617,433,675
368,368,501,568,501,568,460,599
369,369,497,543,497,543,462,565
370,370,479,574,479,574,429,615
371,371,466,574,466,574,410,619
372,372,434,572,434,572,367,627
373,373,401,553,401,553,327,611
374,374,361,567,361,567,264,646
375,375,345,555,345,555,246,634
376,376,384,541,384,541,308,598
377,377,416,532,416,532,356,575
378,378,411,507,411,507,357,540
379,379,413,486,413,486,368,510
380,380,374,500,374,500,309,542
381,381,376,499,376,499,311,539
382,382,373,505,373,505,306,550
383,383,378,481,378,481,321,514
384,384,356,442,356,442,306,465
385,385,348,424,348,424,302,441
386,386,391,463,391,463,346,484
387,387,460,409,460,409,457,392
388,388,503,405,503,405,512,378
389,389,534,387,534,387,556,349
390,390,559,456,559,456,567,432
391,391,603,461,603,461,619,430
392,392,628,487,628,487,644,459
393,393,630,513,630,513,640,492
394,394,628,525,628,525,635,508
395,395,690,489,690,489,717,450
396,396,722,465,722,465,758,417
397,397,716,465,716,465,751,418
398,398,701,488,701,488,730,448
399,399,679,522,679,522,698,494
400,400,656,522,656,522,670,499
401,401,674,522,674,522,692,495
402,402,687,517,687,517,709,486
403,403,741,467,741,467,779,417
404,404,798,339,798,339,858,269
405,405,820,291,820,291,885,220
406,406,839,268,839,268,906,199
407,407,801,315,801,315,865,244
408,408,753,364,753,364,808,297
409,409,704,399,704,399,750,340
410,410,789,304,789,304,854,233
411,411,886,191,886,191,956,133
412,412,988,105,988,105,1041,83
413,413,1044,129,1044,129,1080,113
414,414,1095,106,1095,106,1114,111
415,415,1105,96,1105,96,1120,108
416,416,1086,141,1086,141,1109,133
417,417,1042,188,1042,188,1078,157
418,418,1018,195,1018,195,1061,158
419,419,983,209,983,209,1033,162
420,420,1085,195,1085,195,1109,172
421,421,1145,180,1145,180,1149,176
422,422,1115,175,1115,175,1129,165
423,423,1054,238,1054,238,1088,200
424,424,1015,261,1015,261,1057,212
425,425,961,257,961,257,1014,200
426,426,930,256,930,256,988,196
427,427,900,212,900,212,966,152
428,428,888,92,888,92,968,52
429,429,885,158,885,158,958,104
430,430,853,176,853,176,930,116
431,431,800,233,800,233,875,163
432,432,752,310,752,310,816,238
433,433,744,387,744,387,795,323
434,434,763,457,763,457,804,403
435,435,835,468,835,468,881,409
436,436,859,525,859,525,901,475
437,437,847,533,847,533,888,485
438,438,742,627,742,627,756,620
439,439,659,690,659,690,642,729
440,440,667,744,667,744,643,807
441,441,639,774,639,774,599,862
442,442,611,764,611,764,563,857
443,443,700,790,700,790,680,866
444,444,763,805,763,805,762,868
445,445,797,807,797,807,806,862
446,446,824,788,824,788,842,827
447,447,802,740,802,740,817,764
448,448,848,710,848,710,875,712
449,449,876,713,876,713,909,710
450,450,914,716,914,716,952,709
451,451,972,723,972,723,1018,708
452,452,998,678,998,678,1045,648
453,453,889,699,889,699,924,689
454,454,846,753,846,753,871,772
455,455,820,716,820,716,842,726
456,456,823,685,823,685,848,683
457,457,857,613,857,613,892,583
458,458,893,589,893,589,933,549
459,459,851,626,851,626,884,600
460,460,773,692,773,692,786,703
461,461,772,822,772,822,771,891
462,462,712,893,712,893,682,1023
463,463,703,832,703,832,678,930
464,464,689,796,689,796,664,878
465,465,741,733,741,733,742,769
466,466,742,692,742,692,748,710
467,467,751,709,751,709,757,732
468,468,751,714,751,714,756,740
469,469,816,719,816,719,836,731
470,470,875,693,875,693,908,683
471,471,933,637,933,637,975,604
472,472,952,623,952,623,996,584
473,473,949,636,949,636,992,601
474,474,985,611,985,611,1030,567
475,475,946,592,946,592,990,548
476,476,909,603,909,603,950,564
477,477,906,606,906,606,947,568
478,478,912,597,912,597,953,556
